"CLIENTNUM","Target","Customer_Age","Gender","Dependent_count","Education_Level","Marital_Status","Income_Category","Card_Category","Months_on_book","Total_Relationship_Count","Months_Inactive_12_mon","Contacts_Count_12_mon","Credit_Limit","Total_Revolving_Bal","Avg_Open_To_Buy","Total_Trans_Amt","Total_Trans_Ct","Avg_Utilization_Ratio","Flag_Muestra"
"708197358","1","57","M","2","Uneducated","Unknown","$80K - $120K","Blue","48","4","1","3","30543.0","264","30279.0","7784","63","0.009","1"
"708211383","0","35","F","3","Graduate","Single","Less than $40K","Blue","27","3","3","3","2664.0","0","2664.0","3906","74","0.0","1"
"708217758","0","63","M","2","Graduate","Married","$60K - $80K","Blue","49","5","2","3","14035.0","2061","11974.0","1606","30","0.147","1"
"708223383","1","47","F","3","High School","Married","Unknown","Blue","39","6","3","4","11410.0","979","10431.0","2736","38","0.086","1"
"708224133","0","61","M","0","Uneducated","Single","$40K - $60K","Blue","49","1","2","3","2228.0","1480","748.0","4431","71","0.664","1"
"708229308","1","49","F","2","Unknown","Married","Less than $40K","Blue","41","5","2","2","3243.0","0","3243.0","6059","71","0.0","1"
"708241233","1","52","F","3","Post-Graduate","Single","Less than $40K","Blue","47","3","3","2","2972.0","0","2972.0","922","25","0.0","0"
"708242283","0","29","M","1","College","Single","$60K - $80K","Blue","36","5","3","2","5346.0","0","5346.0","3253","80","0.0","1"
"708243483","0","53","M","3","College","Married","$120K +","Blue","43","4","2","5","14938.0","1155","13783.0","2248","51","0.077","1"
"708266883","1","34","F","2","Graduate","Single","Less than $40K","Blue","36","1","2","3","1666.0","0","1666.0","2312","35","0.0","0"
"708276183","1","52","F","3","Post-Graduate","Married","Less than $40K","Blue","45","2","4","1","1760.0","0","1760.0","1554","35","0.0","0"
"708288108","1","43","M","4","Post-Graduate","Unknown","$80K - $120K","Blue","30","2","5","3","5639.0","1547","4092.0","647","15","0.274","1"
"708290208","0","43","F","3","High School","Married","Less than $40K","Silver","31","3","3","4","13608.0","1190","12418.0","3118","76","0.087","1"
"708298233","1","49","F","3","Graduate","Married","Less than $40K","Blue","37","4","2","1","6184.0","0","6184.0","1756","49","0.0","1"
"708300483","1","66","F","0","Doctorate","Married","Unknown","Blue","56","5","4","3","7882.0","605","7277.0","704","16","0.077","1"
"708301683","1","40","M","2","Uneducated","Married","$80K - $120K","Blue","30","6","2","3","20798.0","1059","19739.0","8038","90","0.051","1"
"708314808","0","53","F","2","College","Married","Unknown","Blue","41","5","1","3","5659.0","1393","4266.0","1570","40","0.246","1"
"708316008","1","59","F","1","Graduate","Single","Unknown","Blue","36","3","2","3","10031.0","0","10031.0","1792","29","0.0","1"
"708319908","1","37","M","3","Graduate","Single","$80K - $120K","Blue","17","1","1","2","4116.0","1473","2643.0","8667","70","0.358","1"
"708323208","1","49","F","3","Uneducated","Married","Less than $40K","Blue","36","4","2","4","1522.0","0","1522.0","2241","36","0.0","1"
"708330858","1","57","M","3","Graduate","Married","$120K +","Blue","38","2","3","3","8249.0","1381","6868.0","678","11","0.167","1"
"708337683","0","51","M","2","Uneducated","Single","$60K - $80K","Blue","40","4","2","2","21800.0","893","20907.0","3820","62","0.041","1"
"708340758","1","41","M","4","High School","Married","Less than $40K","Blue","32","2","3","3","7769.0","0","7769.0","8109","74","0.0","1"
"708354858","1","51","M","2","Unknown","Single","$120K +","Blue","42","2","4","2","14938.0","0","14938.0","8192","80","0.0","1"
"708361833","0","44","M","4","Graduate","Married","$80K - $120K","Blue","36","3","2","3","19430.0","0","19430.0","3650","80","0.0","1"
"708369633","1","34","F","3","Graduate","Married","Less than $40K","Gold","36","6","3","2","15487.0","1847","13640.0","7031","67","0.119","1"
"708373083","1","40","F","4","Unknown","Married","$40K - $60K","Blue","30","1","3","4","3356.0","2517","839.0","2032","39","0.75","1"
"708376983","1","58","F","1","Unknown","Single","Unknown","Blue","50","5","2","2","8513.0","799","7714.0","2119","37","0.094","1"
"708384033","1","45","F","3","Uneducated","Married","Less than $40K","Blue","35","3","3","3","2745.0","2463","282.0","2466","39","0.897","1"
"708385533","1","49","F","1","Graduate","Married","Less than $40K","Silver","36","2","3","3","11059.0","0","11059.0","9524","80","0.0","1"
"708386958","1","47","F","3","Unknown","Married","Less than $40K","Blue","34","3","3","2","1561.0","0","1561.0","1947","28","0.0","1"
"708390633","0","52","F","3","Graduate","Married","Less than $40K","Blue","44","5","5","3","2421.0","2312","109.0","4219","69","0.955","1"
"708412758","1","33","F","3","Graduate","Single","Less than $40K","Blue","36","5","2","3","1457.0","0","1457.0","2200","45","0.0","0"
"708416433","1","41","F","1","High School","Single","Less than $40K","Blue","36","4","3","2","2372.0","0","2372.0","2499","41","0.0","1"
"708419733","1","47","M","3","College","Single","$60K - $80K","Blue","39","5","3","2","22599.0","0","22599.0","4739","55","0.0","1"
"708421833","0","45","F","4","Graduate","Single","Less than $40K","Blue","36","6","3","2","3342.0","2517","825.0","1139","30","0.753","1"
"708446808","0","33","M","1","Post-Graduate","Married","$80K - $120K","Blue","36","4","3","2","2946.0","1359","1587.0","2017","48","0.461","1"
"708455883","1","57","M","1","Graduate","Single","$80K - $120K","Blue","36","2","3","2","10244.0","861","9383.0","1127","29","0.084","1"
"708473133","0","55","F","1","Graduate","Married","Less than $40K","Blue","45","4","2","3","1677.0","0","1677.0","4588","68","0.0","0"
"708478233","0","48","F","3","Graduate","Married","$40K - $60K","Blue","36","4","2","2","5573.0","1238","4335.0","4348","90","0.222","0"
"708480333","0","65","M","0","Unknown","Single","$40K - $60K","Blue","36","5","2","3","2163.0","932","1231.0","2229","57","0.431","1"
"708488208","0","57","F","3","Uneducated","Married","Less than $40K","Blue","47","5","3","3","2515.0","1922","593.0","2231","58","0.764","1"
"708489258","0","40","F","3","Graduate","Married","Less than $40K","Blue","27","5","3","3","1438.3","988","450.3","3561","72","0.687","1"
"708496833","1","60","M","1","High School","Single","Less than $40K","Blue","50","4","4","5","4613.0","0","4613.0","8970","78","0.0","1"
"708498033","1","44","F","3","Unknown","Married","Less than $40K","Blue","36","3","4","6","2279.0","1837","442.0","2789","52","0.806","1"
"708501783","1","43","M","2","High School","Married","$120K +","Blue","36","6","2","4","34516.0","1477","33039.0","1868","40","0.043","1"
"708502908","0","61","M","2","High School","Single","$60K - $80K","Silver","48","5","2","3","26218.0","0","26218.0","3925","88","0.0","1"
"708504783","0","47","M","3","Uneducated","Unknown","$40K - $60K","Blue","36","3","3","3","10960.0","1333","9627.0","3480","62","0.122","1"
"708507483","0","43","F","3","College","Divorced","Less than $40K","Blue","31","6","4","3","1477.0","0","1477.0","4802","82","0.0","1"
"708508758","1","62","F","0","Graduate","Married","Less than $40K","Blue","49","2","3","3","1438.3","0","1438.3","692","16","0.0","1"
"708513183","0","39","M","1","Uneducated","Married","$40K - $60K","Blue","29","4","2","2","4323.0","1267","3056.0","3078","58","0.293","1"
"708519108","1","46","F","1","Graduate","Married","Unknown","Blue","24","3","3","2","2694.0","1576","1118.0","2041","57","0.585","1"
"708525108","0","54","F","2","Graduate","Married","Unknown","Blue","47","4","3","3","2156.0","1134","1022.0","4120","77","0.526","1"
"708532308","0","37","M","2","Uneducated","Single","$60K - $80K","Blue","36","4","2","2","11419.0","2517","8902.0","3000","70","0.22","1"
"708535158","0","39","M","2","Post-Graduate","Unknown","$80K - $120K","Blue","29","1","1","3","9959.0","1501","8458.0","8505","86","0.151","1"
"708536283","1","35","M","1","Doctorate","Single","$80K - $120K","Blue","27","3","2","2","2904.0","2517","387.0","2653","46","0.867","1"
"708542283","0","58","F","1","Doctorate","Married","Less than $40K","Blue","47","5","3","4","2495.0","2061","434.0","4399","70","0.826","0"
"708543258","0","36","M","3","High School","Married","$80K - $120K","Blue","36","5","3","2","2607.0","1880","727.0","2045","39","0.721","1"
"708551508","0","51","F","2","College","Single","Less than $40K","Blue","37","4","4","2","3264.0","2508","756.0","4966","78","0.768","1"
"708553008","0","38","F","1","High School","Single","$40K - $60K","Blue","36","1","2","3","2148.0","1103","1045.0","4711","64","0.514","0"
"708563433","1","65","F","0","High School","Single","Unknown","Blue","56","3","6","3","5894.0","477","5417.0","1616","32","0.081","1"
"708564858","1","33","M","2","College","Married","$120K +","Gold","20","2","1","4","34516.0","0","34516.0","9338","73","0.0","1"
"708575058","1","46","F","3","Uneducated","Divorced","$40K - $60K","Blue","39","2","3","2","3157.0","965","2192.0","3300","58","0.306","0"
"708584208","1","36","F","2","Graduate","Unknown","Less than $40K","Blue","36","5","2","4","3111.0","2517","594.0","2367","41","0.809","1"
"708597558","0","42","M","3","High School","Single","$60K - $80K","Blue","36","4","4","3","3337.0","795","2542.0","3951","68","0.238","1"
"708600033","0","46","M","2","Graduate","Married","$40K - $60K","Blue","39","4","3","1","1610.0","0","1610.0","4958","87","0.0","0"
"708606633","1","56","F","3","Graduate","Married","$40K - $60K","Blue","44","6","3","4","1544.0","0","1544.0","1902","35","0.0","1"
"708611733","0","42","F","1","College","Married","Unknown","Blue","33","4","4","3","3119.0","1328","1791.0","4659","82","0.426","0"
"708615183","0","44","M","2","Unknown","Married","$60K - $80K","Blue","34","4","4","4","3828.0","1146","2682.0","4558","90","0.299","1"
"708633783","1","43","M","3","Uneducated","Single","$80K - $120K","Blue","30","3","2","4","11336.0","0","11336.0","1809","39","0.0","1"
"708637758","0","49","F","3","Graduate","Single","Unknown","Blue","37","4","3","4","17345.0","545","16800.0","3523","64","0.031","1"
"708642708","1","40","F","2","Uneducated","Married","Unknown","Blue","36","3","2","3","13019.0","0","13019.0","1484","33","0.0","1"
"708653958","1","38","M","3","College","Married","$60K - $80K","Blue","36","5","2","2","6114.0","1461","4653.0","2608","36","0.239","0"
"708654933","1","51","F","2","Doctorate","Married","Less than $40K","Platinum","42","3","2","3","15987.0","193","15794.0","2021","46","0.012","0"
"708657033","0","60","F","2","College","Single","Less than $40K","Blue","54","5","3","2","2694.0","1923","771.0","3837","71","0.714","1"
"708660408","1","40","F","1","College","Married","$40K - $60K","Blue","36","4","2","4","1737.0","1689","48.0","2459","43","0.972","1"
"708662583","1","41","M","3","Unknown","Married","$60K - $80K","Silver","29","1","3","4","27945.0","0","27945.0","8345","70","0.0","1"
"708671733","0","48","M","4","Graduate","Married","$60K - $80K","Blue","36","2","3","3","2072.0","1499","573.0","4091","71","0.723","0"
"708680583","0","53","F","1","Graduate","Married","$40K - $60K","Blue","36","4","1","2","2043.0","1590","453.0","4940","68","0.778","1"
"708681708","1","51","F","2","Unknown","Single","Less than $40K","Blue","43","5","3","2","3245.0","0","3245.0","1977","29","0.0","1"
"708684108","1","46","F","4","Graduate","Married","$40K - $60K","Blue","34","5","3","1","4152.0","1446","2706.0","2218","30","0.348","0"
"708687483","1","54","F","4","Graduate","Single","Less than $40K","Silver","36","3","2","3","13626.0","0","13626.0","1711","30","0.0","1"
"708689958","0","48","F","4","Unknown","Unknown","Less than $40K","Blue","36","4","3","2","2406.0","1744","662.0","4748","88","0.725","0"
"708692583","1","44","F","2","High School","Single","Less than $40K","Blue","31","3","3","3","1506.0","168","1338.0","2312","44","0.112","1"
"708702258","1","40","F","3","Uneducated","Single","Unknown","Blue","36","3","2","2","3698.0","478","3220.0","2051","31","0.129","1"
"708703308","1","35","F","1","Unknown","Married","$40K - $60K","Blue","26","6","4","4","2045.0","1707","338.0","2183","39","0.835","1"
"708705783","1","47","M","3","Doctorate","Married","$60K - $80K","Blue","36","6","3","1","1584.0","1214","370.0","2628","41","0.766","1"
"708706833","1","39","F","3","Uneducated","Divorced","Unknown","Blue","36","4","3","3","2809.0","0","2809.0","2466","40","0.0","1"
"708708858","1","50","F","1","Graduate","Single","Less than $40K","Blue","36","1","3","4","2422.0","502","1920.0","2548","46","0.207","1"
"708722583","0","39","F","4","Uneducated","Single","Less than $40K","Blue","36","5","3","1","2609.0","1656","953.0","3024","64","0.635","1"
"708726708","1","42","F","3","Graduate","Single","$40K - $60K","Blue","36","6","2","3","1451.0","599","852.0","2192","35","0.413","0"
"708731658","1","53","F","0","High School","Married","Less than $40K","Blue","41","3","3","4","1438.3","0","1438.3","1587","42","0.0","1"
"708733983","1","50","F","1","Doctorate","Single","$40K - $60K","Blue","36","6","3","2","5349.0","2391","2958.0","2122","46","0.447","1"
"708736608","1","40","M","3","Graduate","Married","$120K +","Blue","27","5","3","2","2269.0","0","2269.0","2108","39","0.0","1"
"708748833","0","37","F","3","Graduate","Single","$40K - $60K","Blue","25","2","2","3","9875.0","1239","8636.0","8920","105","0.125","0"
"708761733","0","52","F","3","High School","Married","Unknown","Blue","36","2","2","2","8279.0","1582","6697.0","4419","63","0.191","1"
"708776658","0","54","M","2","Unknown","Married","$80K - $120K","Blue","43","6","3","2","5774.0","1519","4255.0","4444","70","0.263","0"
"708780783","0","43","F","3","Graduate","Single","$40K - $60K","Blue","33","4","3","3","2434.0","1169","1265.0","4739","76","0.48","0"
"708788583","1","64","F","1","College","Unknown","Less than $40K","Blue","56","3","1","2","6167.0","0","6167.0","1648","43","0.0","0"
"708793008","1","46","M","3","Doctorate","Divorced","$80K - $120K","Blue","35","5","3","3","9949.0","0","9949.0","2207","40","0.0","1"
"708797583","1","49","F","4","Unknown","Single","Unknown","Blue","31","6","3","3","2672.0","0","2672.0","2576","39","0.0","1"
"708798483","1","37","F","3","Unknown","Single","Unknown","Blue","24","2","3","2","2054.0","0","2054.0","2567","43","0.0","1"
"708799983","1","40","M","1","Post-Graduate","Married","$60K - $80K","Blue","36","6","3","4","18386.0","890","17496.0","1698","43","0.048","1"
"708801108","1","57","F","3","Uneducated","Single","Less than $40K","Blue","51","3","0","3","1438.3","0","1438.3","2113","38","0.0","1"
"708804633","1","44","F","2","Doctorate","Divorced","Less than $40K","Blue","36","1","2","2","1916.0","0","1916.0","2888","39","0.0","1"
"708805908","1","30","M","2","Graduate","Married","Less than $40K","Silver","18","1","1","3","10017.0","726","9291.0","9299","68","0.072","1"
"708809283","1","41","F","4","Graduate","Divorced","$40K - $60K","Blue","33","1","3","1","10360.0","2517","7843.0","2414","28","0.243","1"
"708817608","0","41","F","3","High School","Married","Unknown","Blue","24","3","1","1","3427.0","1419","2008.0","4218","74","0.414","1"
"708821733","1","43","F","3","Unknown","Single","$40K - $60K","Silver","36","2","3","4","19713.0","531","19182.0","8301","70","0.027","1"
"708824958","0","50","F","4","High School","Single","Less than $40K","Blue","42","2","1","2","1460.0","0","1460.0","4265","63","0.0","1"
"708828258","0","55","M","2","College","Married","$120K +","Blue","37","5","2","3","32641.0","1551","31090.0","1327","30","0.048","1"
"708829758","0","41","M","2","High School","Married","$60K - $80K","Blue","36","4","3","2","6062.0","761","5301.0","3877","66","0.126","1"
"708831858","1","43","F","3","Uneducated","Married","Less than $40K","Blue","30","1","3","4","4579.0","1506","3073.0","1915","44","0.329","1"
"708833133","0","40","F","3","Graduate","Divorced","Less than $40K","Blue","29","5","2","2","3170.0","2517","653.0","2027","49","0.794","1"
"708834483","1","46","M","2","Doctorate","Married","$80K - $120K","Blue","29","1","2","5","17667.0","0","17667.0","1775","42","0.0","1"
"708838908","0","49","F","3","Unknown","Single","$40K - $60K","Blue","42","4","3","4","5129.0","1654","3475.0","3192","61","0.322","1"
"708841233","1","41","M","2","College","Married","$80K - $120K","Blue","33","2","3","3","14682.0","2517","12165.0","8193","72","0.171","0"
"708849858","0","44","M","3","Doctorate","Single","$120K +","Blue","35","4","1","5","14028.0","1435","12593.0","3683","73","0.102","0"
"708856983","1","36","M","3","Post-Graduate","Married","$120K +","Blue","27","2","1","2","13873.0","0","13873.0","694","18","0.0","0"
"708859158","0","47","F","4","Graduate","Single","$40K - $60K","Blue","37","4","1","1","1438.3","703","735.3","4341","80","0.489","1"
"708867408","1","52","M","2","High School","Married","$60K - $80K","Blue","40","3","4","2","23128.0","1958","21170.0","2050","35","0.085","1"
"708868233","1","68","M","0","High School","Married","Less than $40K","Blue","52","1","3","2","1438.3","900","538.3","760","21","0.626","0"
"708870408","0","53","M","4","Unknown","Single","Less than $40K","Blue","43","6","3","1","3844.0","2079","1765.0","4271","56","0.541","0"
"708874533","1","45","F","2","College","Married","Less than $40K","Blue","36","1","3","2","3387.0","0","3387.0","510","24","0.0","0"
"708876183","0","51","M","1","High School","Single","$60K - $80K","Silver","43","2","3","2","28673.0","0","28673.0","3722","69","0.0","1"
"708880683","0","49","M","5","College","Married","$40K - $60K","Blue","40","4","3","4","3970.0","892","3078.0","13697","102","0.225","1"
"708885558","1","56","F","1","High School","Single","Less than $40K","Blue","48","1","5","2","3556.0","0","3556.0","2220","45","0.0","1"
"708888633","1","52","M","3","Doctorate","Married","$80K - $120K","Blue","36","2","3","3","3022.0","895","2127.0","2724","38","0.296","1"
"708890958","0","55","M","3","Graduate","Single","$120K +","Blue","42","3","3","2","31636.0","2517","29119.0","4231","68","0.08","1"
"708892833","1","37","M","2","Graduate","Married","$120K +","Blue","30","2","4","4","13662.0","0","13662.0","725","22","0.0","1"
"708908883","0","37","F","2","Graduate","Divorced","Less than $40K","Silver","32","1","3","2","12033.0","1025","11008.0","12603","106","0.085","1"
"708916083","1","49","F","0","Doctorate","Unknown","Less than $40K","Blue","37","5","2","3","1749.0","0","1749.0","2510","38","0.0","1"
"708918558","1","37","F","2","Graduate","Married","$40K - $60K","Blue","36","5","3","2","1959.0","662","1297.0","3046","52","0.338","1"
"708927108","1","53","M","2","Graduate","Married","$120K +","Blue","36","1","3","2","12778.0","507","12271.0","1133","28","0.04","1"
"708928908","0","39","F","1","Graduate","Single","Less than $40K","Blue","23","4","3","3","2533.0","0","2533.0","5128","74","0.0","1"
"708946008","1","46","F","3","College","Married","Less than $40K","Blue","36","5","2","2","1438.3","1214","224.3","2445","39","0.844","1"
"708948483","1","54","M","3","Graduate","Married","$80K - $120K","Silver","36","2","3","1","34516.0","761","33755.0","8444","68","0.022","1"
"708949908","1","50","M","1","Graduate","Divorced","$120K +","Blue","42","1","3","2","1656.0","0","1656.0","2073","44","0.0","1"
"708953883","1","53","M","2","Unknown","Married","$80K - $120K","Blue","36","2","2","1","3212.0","0","3212.0","757","20","0.0","1"
"708963258","1","46","M","3","College","Married","$60K - $80K","Blue","39","3","3","2","13344.0","1907","11437.0","8534","86","0.143","1"
"708972783","1","48","F","4","College","Married","Less than $40K","Blue","37","3","2","3","1745.0","0","1745.0","2297","44","0.0","1"
"708974283","0","50","M","4","Graduate","Married","$60K - $80K","Blue","34","5","1","1","18142.0","0","18142.0","15427","95","0.0","1"
"708976908","1","40","M","3","Post-Graduate","Single","$80K - $120K","Blue","36","4","4","3","8958.0","0","8958.0","2131","43","0.0","1"
"708980283","0","34","M","3","High School","Married","$80K - $120K","Blue","23","5","1","4","4185.0","2517","1668.0","2179","55","0.601","1"
"708983658","1","51","M","2","Uneducated","Single","$120K +","Blue","39","3","3","1","16868.0","0","16868.0","940","25","0.0","1"
"709000008","0","45","M","3","Unknown","Single","$80K - $120K","Blue","37","6","2","2","10651.0","672","9979.0","2073","54","0.063","1"
"709005633","1","62","M","0","High School","Single","$60K - $80K","Blue","51","3","2","4","18734.0","0","18734.0","2112","52","0.0","1"
"709015833","0","42","M","2","Graduate","Single","$60K - $80K","Silver","36","3","3","2","34516.0","0","34516.0","12920","132","0.0","1"
"709017258","1","51","F","2","Unknown","Married","Less than $40K","Blue","36","1","2","2","2114.0","0","2114.0","2872","45","0.0","0"
"709028208","0","44","F","2","Graduate","Married","Unknown","Blue","37","6","3","2","24221.0","1274","22947.0","3361","63","0.053","0"
"709040508","0","57","M","4","Uneducated","Married","$120K +","Blue","38","6","6","2","19802.0","1961","17841.0","2244","58","0.099","1"
"709052883","0","47","F","4","High School","Single","$40K - $60K","Blue","36","3","1","1","1596.0","0","1596.0","5678","81","0.0","1"
"709064208","1","43","F","2","Uneducated","Single","Less than $40K","Blue","32","4","3","6","1628.0","275","1353.0","2219","49","0.169","1"
"709068183","0","53","M","4","College","Single","$60K - $80K","Blue","42","3","3","3","3096.0","0","3096.0","4709","87","0.0","1"
"709071408","0","56","F","5","Graduate","Single","$40K - $60K","Blue","37","4","2","1","2607.0","1702","905.0","4949","74","0.653","1"
"709075533","1","41","M","5","Uneducated","Single","$80K - $120K","Blue","32","4","3","3","12094.0","0","12094.0","8607","90","0.0","0"
"709079883","1","45","F","4","Doctorate","Married","Less than $40K","Blue","36","5","3","3","1663.0","1012","651.0","2729","38","0.609","1"
"709082808","0","53","F","2","High School","Married","Less than $40K","Blue","36","2","3","2","2156.0","1198","958.0","5092","95","0.556","1"
"709094358","0","51","F","1","Graduate","Single","Less than $40K","Blue","41","4","2","3","8900.0","798","8102.0","16737","88","0.09","1"
"709096908","0","57","M","2","Graduate","Married","$120K +","Blue","49","6","3","1","4698.0","984","3714.0","1865","35","0.209","1"
"709098108","0","45","F","4","Graduate","Married","Unknown","Blue","35","4","2","2","2705.0","0","2705.0","4749","80","0.0","1"
"709100283","1","36","F","2","High School","Single","Unknown","Blue","26","3","2","2","5956.0","2517","3439.0","2828","46","0.423","0"
"709101258","1","41","F","2","High School","Divorced","Less than $40K","Blue","28","4","2","2","1478.0","524","954.0","2180","46","0.355","1"
"709102458","1","47","M","2","High School","Single","$80K - $120K","Blue","36","4","3","5","4754.0","0","4754.0","2607","41","0.0","1"
"709104333","0","50","M","5","Post-Graduate","Married","$120K +","Silver","36","5","2","4","34516.0","891","33625.0","2687","64","0.026","0"
"709106358","0","40","M","3","Uneducated","Married","$60K - $80K","Blue","21","5","1","0","4716.0","0","4716.0","816","28","0.0","0"
"709112508","1","42","F","3","College","Single","Less than $40K","Blue","36","3","3","4","3802.0","1300","2502.0","2165","36","0.342","1"
"709127808","0","48","M","3","Post-Graduate","Divorced","$60K - $80K","Blue","35","5","2","1","6243.0","1331","4912.0","3502","57","0.213","1"
"709143183","1","52","F","2","Doctorate","Married","$40K - $60K","Blue","43","3","2","4","1822.0","1605","217.0","2538","39","0.881","0"
"709145958","1","43","F","3","Unknown","Married","Less than $40K","Blue","36","2","2","2","2440.0","1002","1438.0","1533","42","0.411","1"
"709157133","0","39","M","1","Unknown","Divorced","$80K - $120K","Blue","34","6","1","3","3766.0","1049","2717.0","1514","51","0.279","1"
"709161108","1","44","M","1","Unknown","Single","$60K - $80K","Blue","33","3","2","4","2540.0","0","2540.0","1531","31","0.0","1"
"709163358","1","41","M","5","Unknown","Single","$60K - $80K","Gold","32","2","3","4","34516.0","2517","31999.0","1727","35","0.073","0"
"709164408","1","32","M","1","Uneducated","Married","Less than $40K","Blue","23","1","3","3","2218.0","1696","522.0","730","20","0.765","1"
"709170108","1","60","F","1","Unknown","Single","$40K - $60K","Blue","41","3","2","4","2425.0","0","2425.0","1522","36","0.0","1"
"709173108","1","54","F","4","Graduate","Married","Unknown","Blue","40","6","2","2","2532.0","2221","311.0","799","21","0.877","0"
"709178733","1","50","F","2","Post-Graduate","Married","$40K - $60K","Blue","36","3","2","3","5527.0","1120","4407.0","2281","37","0.203","1"
"709183683","0","31","F","0","Uneducated","Single","Less than $40K","Blue","36","4","2","0","5391.0","0","5391.0","1971","56","0.0","1"
"709192233","1","50","F","2","Unknown","Married","Unknown","Blue","39","3","2","1","1773.0","0","1773.0","1764","30","0.0","1"
"709199358","1","60","M","1","Uneducated","Married","Less than $40K","Blue","36","1","3","4","3316.0","0","3316.0","1684","19","0.0","1"
"709200633","0","55","F","1","Graduate","Single","Unknown","Blue","49","1","4","3","2721.0","0","2721.0","5443","73","0.0","1"
"709206333","1","44","F","4","Graduate","Single","$40K - $60K","Blue","30","3","4","4","4333.0","0","4333.0","1558","40","0.0","1"
"709213458","1","42","M","3","High School","Married","$80K - $120K","Blue","36","1","3","2","22993.0","0","22993.0","7867","75","0.0","1"
"709216533","0","52","M","2","College","Married","$80K - $120K","Blue","36","6","3","4","2803.0","778","2025.0","3142","64","0.278","0"
"709222008","1","41","M","3","Unknown","Single","$80K - $120K","Blue","32","1","3","4","4742.0","2221","2521.0","2422","41","0.468","1"
"709224033","1","53","M","4","Uneducated","Single","$60K - $80K","Blue","43","1","3","2","13720.0","0","13720.0","1830","36","0.0","1"
"709224858","0","53","M","2","Post-Graduate","Married","$80K - $120K","Blue","36","5","1","2","3610.0","1629","1981.0","1652","40","0.451","1"
"709227033","0","53","M","3","Graduate","Single","$80K - $120K","Blue","46","5","2","3","9065.0","1548","7517.0","4030","73","0.171","1"
"709232808","1","44","F","3","Unknown","Divorced","$40K - $60K","Blue","34","2","3","2","1689.0","0","1689.0","1588","37","0.0","0"
"709236633","0","40","F","3","Uneducated","Divorced","$40K - $60K","Blue","28","3","1","3","6608.0","2270","4338.0","4033","58","0.344","1"
"709249083","1","40","M","2","Unknown","Single","$60K - $80K","Blue","20","4","2","4","4283.0","0","4283.0","8672","64","0.0","1"
"709259958","1","53","F","1","Graduate","Single","Less than $40K","Blue","44","1","3","2","5541.0","2517","3024.0","9195","73","0.454","1"
